input_sentence_1;input_sentence_2;input_sentence_3;input_sentence_4;sentence_quiz1;sentence_quiz2;answer_right_ending
ཛིག་གིས་ཧེལ་ལོ་ཝིན་དུས་ཆེན་ཞིག་བཤམས་བཞིན་ཡོད། ;ཁོང་རང་གི་གྲོགས་པོ་ཚང་མ་གྱོན་གོས་གྱོན་བཞིན་འདུག ;ཛིག་གིས་མིག་དམར་ཞིག་དང་ཡང་ན་སྒྱུ་མ་མཁན་ཞིག་ཏུ་འགྱུར་བའི་སྐོར་བསམ་བློ་གཏོང་གི་འདུག ;དེ་ནས་ཁོས་གོས་གཞན་ཞིག་གདམ་ཁ་བྱས་པ་ཡིན། ;ཛིག་གིས་ཁུ་བ་ལྟར་གྱོན་པའི་གཟབ་མཆོད། ;ཛིག་གིས་རུས་རུས་ཀྱི་རྣམ་པ་ལྟ་བུ་གྱོན་པ་རེད། ;2
ཇ་ནེཊ་ནི་དུས་རྟག་ཏུ་གློག་བརྙན་ནང་ཞུགས་འདོད་ཀྱི་འདུག ;མཐར་མོ་གློག་བརྙན་ཆེན་པོ་ཞིག་ནང་རྩེད་མོ་ཞིག་ལེན་པ་རེད། ;འདས་པའི་བདུན་ཕྲག་ནང་རྒྱལ་ཡོངས་ནང་འགོ་འཛུགས་བྱེད་རྒྱུ་རེད། ;སྙིང་རྗེ་ཆེ། དུས་འགྱངས་བྱུང་། ;ཇ་ནེཊ་ལ་སེམས་གསོ་ཐོབ་བྱུང་། ;ཇ་ནེཊ་ཡིད་ཕམ་བྱུང་། ;2
མཱར་ཇེ་ཡིས་རང་གི་ཁྱོ་བྷིལ་ལ་རྒྱབ་ཀྱི་ལྡུམ་རའི་ཆུ་རྫིང་ཞིག་གནང་རོགས་ཞུས་པ་རེད། ;མཆེད་པ་མ་གཏོགས། ;མགྱོགས་པོར་མཱར་ཇི་གྱིས་བདུན་ཕྲག་རེར་ཆུ་ཐོག་གི་ཚོགས་པ་ཚོགས་པ་རེད། ;ཉིན་ཞིག་ཚོགས་ཆེན་ཞིག་ཏུ་མོས་བྷིལ་དང་གཏམ་གླེང་བྱེད་བཞིན་ཡོད་པའི་ བིག་ནི་གྱོན་པའི་ཁྱིམ་ཚང་གི་སྐྱེས་པ་གཟུགས་པོ་ལེགས་པ་ཞིག་མཐོང་བྱུང་། ;མཱར་ཇེ་གྱིས་གན་རྒྱ་གསར་པ་ཞིག་བཏགས་སོང་། ;མཱར་ཇེ་གྱིས་ཆུ་ལ་ཆུ་བླུགས་པའི་སྐབས་སེམས་ལ་འགྱོད་སེམས་ཆེན་པོ་བྱུང་སོང་། ;2
རོ་ཛི་ནི་རྟ་ཆུང་ཞིག་ཡིན་པས་སེམས་ཁྲལ་མེད་པར་ངར་སྐད་འདོན་བཞིན་འདུག ;སོ་ནམ་པ་ཇོན་སིས་ད་དུང་མོའི་ཞོགས་པའི་བལ་མ་འཁྱེར་ཡོང་བ་རེད། ;མོ་ལ་སེམས་འཁྲལ་ཆེན་པོ་བྱུང་ནས་སོག་པོའི་ལྡུམ་རའི་ཕྱོགས་སུ་ལྐོག་ནས་སོང་ངོ་། ;སོ་ནམ་པ་ཡོ་ནེས་ལྕགས་རིའི་འོག་གི་ས་ཆ་དེ་མ་ཤེས་ཀྱང་། རོ་ཛི་གྱིས་ཤེས་སོ། ;རོ་ཛི་གྱིས་བཟོད་བསྲན་ཆེན་པོས་ཞིང་པ་ཇོན་སི་ལ་སྒུག་བསྡད་དོ། ;རོ་ཛི་ནི་ལྡུམ་རའི་ནང་འགྲོ་རྒྱུར་རང་དབང་ཐོབ་པ་རེད། ;2
Rick ལགས་ནི་དགེ་འདུན་ཁང་དུ་བཞུགས་སྐབས་ས་སྟེང་གི་དེད་དཔོན་ལག་ཁྱེར་ཞིག་མཐོང་བྱུང་། ;ཁོང་གིས་གནས་དེར་སུ་ཞིག་ཡོད་མེད་སྐོར་འདྲི་རྩད་བྱས་པ། ;དེ་ནི་དངོས་གནས་དེ་འདྲ་མིན་ཏེ། རིག་གིས་མི་ངོ་མི་ཤེས་པ་ཞིག་ལ་བཞག་མི་འདོད་པ་རེད། ;དེར་བརྟེན་ཁོས་ཤིང་རྟ་འཁོར་ལོའི་ལག་ཁྱེར་གྱི་བདག་པོའི་ཁ་བྱང་དུ་འགྲོ་རྒྱུ་ཐག་བཅད་པ་རེད། ;རིག་གིས་ལག་ཁྱེར་དེ་སྒེ་ཁུང་ནས་ཕྱིར་འཕངས་སོང་། ;རིག་གིས་དེད་གཡོགཔ་ལ་ལག་ཁྱེར་སྤྲད་ནས་དེད་གཡོགཔ་ལ་དགའ་ཚོར་ཆེན་པོ་བྱུང་ངོ་། ;2
ཁ་སང་ནས་ཟས་བཅུད་ལ་ཞུགས་པ་ཡིན། ;ཉིན་གང་ངས་ཟས་རིགས་གསོས་པ་ཟ་བ་ཡིན། ;དེ་རིང་ངས་སྣུམ་ཁུག་ནང་དུ་པི་ཛ་མཐོང་བྱུང་། ;ངའི་སེམས་ཤུགས་ཆག་པས་ངས་དུམ་བུ་ལྔ་ཟོས་པ་ཡིན། ;ངས་ངོ་ཚ་བ་ཞིག་བྱུང་སོང་། ;ངས་རང་འདོད་ཀྱི་ནུས་པ་ལ་སྤོབས་པ་བྱུང་། ;1
སེམ་དང་ཁོང་གི་ཆུང་མ་གཉིས་འགྲུལ་སྐྱོད་བྱེད་རྒྱུའི་སྒོར་སྒོར་རྒྱག་བཞིན་འདུག ;ཁོང་ནི་འགྲུལ་སྐྱོད་འདི་ལ་ཧ་ཅང་རེ་འདུན་ཆེན་པོ་བྱེད་ཀྱི་འདུག ;ཁོ་མོ་དང་མཉམ་དུ་དུས་ཡུན་མང་པོ་བསྡད་ཐུབ་པར་དགའ་པོ་བྱུང་ངོ་། ;ཁོང་གཉིས་ཀྱིས་གོས་སྒྲིལ་ཚར་ནས་ཕན་ཚུན་ལ་འཕྱ་ཞིང་དགོད་མོ་བྱས་པ། ;སེམ་གྱིས་མྱུར་དུ་རང་གི་ཆུང་མ་ལས་ཐག་རིང་བར་འདོད་ཀྱི་འདུག ;སེམ་དང་ཁོང་གི་ཆུང་མ་མཉམ་དུ་དུས་བཟང་ཞིག་རོལ་སོང་། ;2
ཨིསི་ཊན་གྱིས་ཨེ་རི་ཀི་དང་མཉམ་དུ་འགྲུལ་སྐྱོད་བྱེད་འདོད་འདུག ;འོན་ཀྱང་ཨེ་རིག་གི་ཨ་མས་ཨེ་རིག་ལ་རྩེད་སའི་ཁང་མིག་ནང་དུ་ཡོང་མི་ཆོག་ཅེས་བཤད་བྱུང་། ;སཱན་གྱིས་གསོལ་བ་བཏབ་ནས་གསོལ་བ་བཏབ་ཀྱང་། ཕན་ཐོགས་གང་ཡང་བྱུང་མ་སོང་། ;ཨེ་རི་ཀས་གསང་བའི་ཐོག་ནས་ཁང་པ་ནས་ཐོན་ཏེ་སི་ཊན་གི་སྒེ་ཁུང་ལ་རྡུང་འདུག ;བུ་གཉིས་ནི་ཐེ་ཚོམ་མེད་པར་རང་རང་གི་འགྲུལ་བཞུད་ལ་ཞུགས་པར་ཕྱིན་པ་རེད། ;ཨེ་རི་ཀས་གཉིད་སད་ནས་སི་ཊན་ཁོ་ན་རང་ལ་བཞག་པ་རེད། ;1
གྷེ་རག་ལ་གང་ཞིག་ལག་ཏུ་འཐེན་ན་འཐེན་པར་དགའ། ;ཉིན་ཞིག་ཁོང་གིས་རྡོ་ཞིག་ཕུད་ཐུབ་ཚད་རིང་དུ་ཕུད་སོང་། ;ཁྱིམ་ཚང་གི་སྒེ་ཁུང་ནས་འཛུལ་བ་རེད། ;ཁོ་འཇིགས་ཀྱང་དྲང་པོ་བྱ་འདོད་འདུག ;གྷེ་རེག་གིས་ཁོའི་ཁྱིམ་ཚང་ལ་ཁོང་ཡིན་ཞེས་བཤད་བྱུང་། ;གྷེ་རག་གིས་སྒེའུ་ཁུང་བཅག་པའི་ཉེས་སྐྱོན་དེ་བུ་གཞན་ཞིག་ལ་བཅད་པ་རེད། ;1
བརད་ (Brad) ནི་མཚོ་འགྲམ་ལ་སོང་འདུག ;ཁོང་གིས་བྱེ་མའི་རྫོང་ཞིག་བཟོས་པ་རེད། ;ཁོ་རྒྱ་མཚོའི་ཆུ་ལ་མཆོངས་སོང་། ;ཁོ་ཉ་ཆུང་ཆུང་དང་མཉམ་དུ་ཉ་ཆུའི་ནང་ཆི བ ས་སོང་། ;བརད་ཀྱི་ཉིན་མོ་དེ་ཧ་ཅང་སྡུག་པོ་བྱུང་། ;དེ་ནས་བྷེཌ་ནི་ཉིན་མོ་ཡག་པོ་རྒྱབ་རྗེས་ཁྱིམ་དུ་ལོག་སོང་། ;2
ང་ཚོའི་ཁྱི་ཆུང་དེ་ཕྱི་རོལ་དུ་རྩེད་བར་སོང་འདུག ;ཁོང་འདམ་རྫབ་ནང་སྒྲིལ་ཞིང་འདམ་རྫབ་དེའི་ནང་ཁོང་རང་གི་པགས་པའི་ནང་ཆུད་སོང་། ;ནང་ལ་འཛུལ་ནས་ཁོ་ཁྲུས་ཁང་དུ་བཏང་། ;ཁོ་ནི་ཆུ་ལ་འཁྱུ་བར་མཆོངས་སོང་། ;ང་ཚོས་ཁོ་ལ་ཆུ་སྦང་བྱས་པ་ཡིན། ;ང་ཚོས་ལས་ཀ་མཇུག་བསྡུ་སྐབས་ང་ཚོའི་ཁྱི་ཆུང་དེ་འདམ་པས་གང་ནས་འདུག ;1
ཇེ་རི་གྱིས་དུས་དེར། འབོར་འཁོར་བཞོན་སྟངས་སྦྱངས་ཏེ་ཧ་ཅང་དགའ་པོ་བྱུང་། ;ཁོང་རང་གི་ཁང་པའི་ཉེ་སར་ལམ་དུ་འགྲོ་སྐབས་ཆུ་དོང་ཞིག་ནང་འཛུལ་སོང་། ;ཁོ་ཡི་འཁོར་ལོ་དེ་འཕྲལ་དུ་བཀག་སྟེ་འཁོར་ལོ་དེ་ཕར་ཚུར་གཡུག་པ་རེད། ;ཁོང་དེར་ཉལ་ནས་རོགས་རམ་ཆེད་སྐད་འབོད་བྱེད་བཞིན་འདུག ཁོང་མཐོང་སར་སུ་ཡང་མེད། ;ཇི་རིའི་ཨ་མས་ཁོ་ལ་འཚོལ་རྒྱུར་ཆུ་ཚོད་ ༢༠ འགོར་བ་རེད། ;ཇེ་རི་ཡིས་རང་གི་འཁོར་ལོའི་འགྲུལ་བཞུད་རྗེས་མ་ལ་སྒུག་མ་ཐུབ་པ་རེད། ;1
ངས་དྲ་ལམ་ནས་ཐུག་འཕྲད་བྱས་པའི་མི་ཞིག་དང་ཐུག་འཕྲད་བྱེད་རྒྱུ་ཐག་བཅད་པ་ཡིན། ;ངས་མོ་ལ་དངོས་སུ་མཐོང་མྱོང་མེད་ཀྱང་། ངས་མོ་ལ་ཡིད་ཆེས་ཡོད། ;གནམ་གྲུ་འཕུར་འགྲུལ་གྱིས་ཆུ་ཚོད་མང་པོ་བརྒྱད་འགོར་བ་རེད། ;ངས་མགྲོན་ཁང་དུ་སླེབས་སྐབས་མོས་སྒོའི་མདུན་ལ་བསྡད་འདུག་ཅེས་བཤད་བྱུང་། ;ངས་གནམ་གྲུ་ནང་བསྡད་ནས་ཁྱིམ་དུ་ལོག་པ་ཡིན། ;ངས་ནང་དུ་འཛུལ་ནས་མོ་མཐོང་བྱུང་། ;2
ངས་དྲ་ལམ་འཛིན་སྐྱོང་པ་ཞིག་གླས་པ་ཡིན། ;ངས་བསམ་དོན་ནི། དེ་དག་གིས་ངའི་དྲ་ཚིགས་ལ་དྲ་རྒྱ་མང་དུ་གཏོང་ཐུབ་ཀྱི་རེད། ;ཁོང་ཚོས་དུས་ཡུན་མང་ཤོས་གཞན་གྱི་ཡིག་ཆ་བཀླག་པར་བེད་སྤྱོད་བྱེད་ཀྱི་ཡོད། ;ངའི་དྲ་ལམ་གྱི་རྒྱུན་འགྲུལ་དེ་ཡང་ཟླ་རྗེས་མར་མར་བབས་པ་རེད། ;ངས་ངའི་གསར་འགོད་པ་སྤྱི་ཚོགས་འབྲེལ་ལམ་གྱི་ལས་འཛིན་པ་གློད་གྲོལ་གཏོང་རྒྱུ་ཐག་བཅད་པ་ཡིན། ;ངས་ངའི་གསར་འགོད་པ་ལ་ལས་ཀའི་གླ་ཆ་ཡར་སེང་བྱ་རྒྱུ་ཐག་བཅད་པ་ཡིན། ;1
སེམ་གྱི་ཕ་མ་གཉིས་ཕྱི་དྲོ་འགྲུལ་བཞུད་དུ་ཕྱིན་པ་རེད། ;ཁོང་ཉིད་དུས་ཆེན་ཞིག་སྲུང་བརྩི་བྱེད་རྒྱུ་ཐག་བཅད་པ་རེད། ;མི་མང་པོ་ཡོང་བ་རེད། ;སྟོན་པའི་ཚོགས་མི་རྣམས་ཀྱིས་ཁང་པ་གཏོར་བཤིག་བཏང་། ;སེམ་གྱི་ཕ་མ་གཉིས་དགེ་འདུན་པ་ལས་འཐོར་བར་གྱུར་པས་སེམས་འཁྲལ་ཆེན་པོ་བྱུང་ངོ་། ;སེམ་ལ་དཀའ་ངལ་ཆེན་པོ་ཞིག་བྱུང་ཡོད། ;2
དེ་རིང་ནི་སློབ་གྲྭའི་ཉིན་དང་པོ་རེད། ;ངས་ཨ་མས་ཉོས་པའི་གོས་གསར་པ་གྱོན་པ་ཡིན། ;ངས་གྲོགས་པོ་གསར་པ་མང་པོ་ཞིག་དང་འཕྲད་བྱུང་། ;ངའི་ཐུགས་བརྩེ་བའི་སློབ་ཚན་ནི་རོལ་དབྱངས་ཡིན། ;སློབ་གྲྭའི་དུས་སྐབས་ཡག་པོ་བྱུང་། ;ངས་སློབ་གྲྭ་ལ་སྡང་བ་ཡོད། ;1
སེམ་གྱིས་གློག་བརྙན་གསར་པ་ཞིག་ཉོས་པ་ཡིན། ;འབར་མི་འགྱུར། ;ཁོང་གིས་ཐེངས་མང་པོར་དྲ་མིག་ཁ་བསྒྱུར་གྱི་ ;མཐའ་མར་ཇེ་བིས་འདི་ལྟ་བར་ཡོང་ངོ་། ;ཇི་བིས་མེ་ཀེ་རོཊ་འཕར་བ་འབྱེད་སོང་། ;ཡེ་བེས་གློག་བརྙན་དེ་གློག་ཐག་ནང་བཙུགས་ཏེ་གློག་བརྙན་དེ་ཁ་བསྒྱུར་སོང་། ;2
ཉིན་ཞིག་མཱ་ཏིལ་དཱ་ལ་ཡིད་ཐང་ཆད་འདུག ;དེ་འདྲ་སོང་ཙང་མོས་ཁ་པར་དེབ་ཀྱི་མིང་དང་ཁ་བྱང་འདེམས་པ་ཡིན། ;མོ་ཡིས་མི་འདྲ་བ་དེ་ལ་གླེན་པའི་འཕྲིན་ཡིག་ཞིག་བྲིས་པ་རེད། ;བགྲོད་མཁན་གྱིས་མ་ཏི་ལ་དཱ་ལ་ལན་བྲིས་སོ། ;དེ་ནས་མ་ཏི་ལ་ཌ་ལ་ཨ་ཇོ་ནས་ཡི་གེ་ཞིག་འབྱོར་བྱུང་། ;མཱ་ཏི་ལ་དཱ་ལ་ཁོ་ཚོར་འཕྲིན་ཡིག་མ་འབྲི་དགོས་པའི་བཀའ་བཏང་བ་རེད། ;2
བི་ལིའ་དང་ཊེ་ཌི་ནི་ཆང་སའི་ཁང་དུ་མཉམ་དུ་བསྡད་ཡོད་ ;བི་ལིས་བུ་མོ་མཛེས་པོ་ཞིག་མཐོང་བྱུང་། ;ཁོ་མོ་དང་མཛའ་བརྩེའི་བྱེད་སྒོ་བཏང་བར་ཕྱིན་ཀྱང་། མོ་ཁོ་ལ་མི་དགའ་བ་རེད། ;ཁོང་ར་ར་བཟི་ནས་ཁ་ཡག་པོ་བཤད་མ་ཐུབ་པ་རེད། ;བི་ལིས་ཟབ་ཟབ་ཀྱིས་ཨང་གྲངས་བརྒྱད་ལྡན་གྱི་ཐིག་ཁྲམ་འདི་རྩིས་རྒྱག་བྱས་པ་ཡིན། ;བི་ལཱོན་དང་ཊེ་ཌི་གཉིས་ཀྱིས་བུད་མེད་མཛེས་པོ་རྣམས་ཅི་འདྲའི་རང་འདོད་ཅན་ཡིན་པའི་སྐོར་སྐད་ཤུགས་ཆེན་པོས་གླེང་མོལ་བྱས་པ་ཡིན། ;2
ཁ་སང་གི་མཚན་མོ་ནི་འཇིགས་སུ་རུང་བ་ཞིག་རེད། ;རླུང་འཚུབ་ཀྱི་ཉེན་བརྡ་དང་གློག་འཁྱུག་གི་རླུང་འཚུབ་དྲག་པོ་བྱུང་། ;སྙིང་རྗེ་ཆེ། ངའི་ཝེ་ལིན་གྱི་གླུ་དབྱངས་གླུ་བ་མ་བཤོལ་བ་རེད། ;ང་དེར་ཕེབས་དགོས་ཀྱི་ཡོད་ཀྱང་། འོད་ཟེར་དེ་དུས་ཆུད་ཟོས་བཏང་བ་རེད། ;སུས་ཀྱང་གང་བྱུང་ཡིན་པ་དོ་སྣང་བྱས་པ་མ་འདྲ་བ་རེད། ;ང་ཚོས་གླུ་གཞས་ཀྱི་ཤོག་ལེབ་ལ་བལྟ་མི་ཐུབ་པས། ;2
ཇེ་ནེ། ལིན་ནེ། གློག་བརྙན་བལྟ་བར་སོང་བ་རེད། ;ཇེ་ནི་མོ་ནི་གློག་བརྙན་སྐྱོ་པོ་ཞིག་བལྟ་འདོད་མོད། འོན་ཀྱང་ལིན་ནི་མོ་ནི་སེམས་དགའ་བའི་བརྙན་ཞིག་བལྟ་འདོད་འདུག ;ཁོང་གཉིས་བརྙན་ཁང་དུ་སླེབས་སྐབས། ཁོ་གཉིས་གྲོས་མོལ་ཞིག་བྱེད་རྒྱུ་ཐག་བཅད་པ་རེད། ;སྟབས་བདེ་བའི་གློག་བརྙན་ཞིག་གདམ་ཁ་བྱས། ;དེའི་ཚབ་ལ་ཁོང་གཉིས་ཝི་གྷ་སི་ལ་འགྲོ་རྒྱུ་ཐག་བཅད་པ་རེད། ;ཁོང་གཉིས་བདེ་སྐྱིད་ཅན་རེད། ;2
ཨོ་ལི་ཝ་ལ་ཚོང་ཉར་དུ་འགྲོ་འདོད་འདུག ;མོ་ཚོང་ཁང་དུ་འགྲོ་རྒྱུ་ཐག་བཅད་འདུག ;མོ་ལ་ལྷམ་ཚོང་གི་ཚོང་ཟོག་ཆེན་པོ་ཞིག་རྙེད་བྱུང་། ;མོ་ལ་གོས་ཆ་གསུམ་ཉོས་ཡོད། ;ཨོ་ལི་ཝི་ཡ་ཡིས་སླར་ཡང་ཚོང་ཟོག་འགྲོ་མི་འདོད་ཅེས་ཐག་བཅད་འདུག ;ཨོ་ལི་ཝཱ་ལ་ཉོ་ཚོང་བྱེད་དུས་ཀྱི་ཉིན་མོ་ངོ་མཚར་ཆེན་པོ་ཞིག་བྱུང་། ;2
ང་ཚོས་ཁང་པ་གསར་པ་ཞིག་ཏུ་སྤོས་ཀྱི་ཡོད། ;ད་ང་ཚོའི་ཁྱིམ་རྙིང་པ་དེ་ནི་ང་ཚོའི་ཁྱིམ་ཚང་གི་ཆེད་དུ་ཆུང་བ་རེད། ;ང་ཚོས་རང་གི་དངོས་པོ་ཚང་མ་སྒྲིལ་ཚར་འདུག ;ང་ཚོར་ཁང་གསར་དུ་འགྲོ་རྒྱུ་དེ་ཧ་ཅང་དགའ་པོ་འདུག ;གནས་སྤོ་རྒྱུ་དེ་བསམ་བློ་ཡང་མི་གཏོང་གི་འདུག ;ངས་རང་གི་ཉལ་ཁང་རང་ཐག་རང་བཅད་ཐུབ་པར་རེ་བ་ཡོད། ;2
ཤ་ཝན་ཞོགས་པའི་ཆུ་ཚོད་ ༨།༧ ཐོག་ཉལ་ཁྲི་ནས་ཡར་ལངས་སོ། ;ཁོང་རང་གི་ཕོར་པ་ནས་སigarettes ཕྱིར་ལག་བརྐྱངས་ཀྱང་ཕོར་པ་སྟོང་པ་རེད། ;དེ་ནས་ཤོན་གྱིས་གོས་གྱོན་ནས་ཟུར་གྱི་ཚོང་ཁང་དུ་ཕྱིན་པ་རེད། ;དེར་ཁོ་ནི་ནེའུ་པོར་ཊི་ (Newports) ཟེར་བའི་སྨན་རྫས་གང་ཙམ་ཞིག་ཉོས་པ་རེད། ;ཤ་ཝན་གྱིས་དེ་མ་ཐག་ཏུ་མུ་ཟི་འཐུང་རྒྱུ་མཚམས་འཇོག་བྱས་པ་ཡིན། ;ཤ་ཝན་གྱིས་དེ་མ་ཐག་ཏུ་སྤོས་སོ། ;2
ནིག་ཀི་ལ་བུ་མོའི་འདྲ་ཞིག་ཡོད། ;མོ་རང་གི་བུའུ་མོ་ལ་ཧ་ཅང་གཅེས་པོ་ཡོད། ;ཉིན་ཞིག་མོ་རང་གི་བུའུ་མོ་ཤོར་སོང་། ;ནིག་ཀི་ནི་ཉིན་གང་ངུ་ཞིང་བསྡད་ཡོད། ;ནིག་ཀི་ཡིས་བུའུ་དེ་རྙེད་མ་ཐུབ་པ་རེད། ;ནིག་ཀི་ཡིས་མཚན་གང་གད་མོ་གད་སོང་། ;1
ཟླ་བ་གསུམ་གྱི་ནང་ཨ་ན་གྱིས་ཀི་ལོ་ ༢༠ ཙམ་འཇོམས་སོང་། ;མོའི་གྲོགས་པོ་རྣམས་ཀྱིས་མོའི་གསང་བ་གང་ཡིན་མ་ཤེས་པ་རེད། ;འདས་པའི་བདུན་ཕྲག་ལ་ཁོ་ཚོས་མོ་ལ་གྲོས་མོལ་ཞུ་རྒྱུ་ཐག་བཅད་འདུག ;མོ་ལས་ལུས་རྩལ་བྱེད་པ་དང་ཟས་རིགས་ཀྱང་ལེགས་པོ་ཟ་བཞིན་འདུག་ཅེས་བརྗོད་ཀྱི་འདུག ;ཨ་ནཱའི་གྲོགས་པོ་རྣམས་ཀྱིས་མོ་ཡི་ཐབས་ལམ་ལ་ཕན་ཐོགས་མེད་ཅེས་བསམ་པ་རེད། ;ཨ་ནཱའི་གྲོགས་པོ་རྣམས་མོ་ལ་ཐབས་ལམ་སླ་པོ་འདི་འདྲ་ཡོད་པ་ལ་ངོ་མཚར་བྱུང་། ;2
བོ་བ་ (Bob) གྱིས་ཧམ་བྷར་གྷར་ཞིག་འདོད་འདུག ;འོན་ཀྱང་ཁོང་གིས་ཟས་རིགས་གསོ་བའི་ཐབས་ལམ་ཞིག་ཀྱང་འདོད། ;དེར་བརྟེན་ཁོས་སྨན་རྫས་ལྡན་པའི་ཧུར་གྷར་བཟོ་རྒྱུར་ཐག་བཅད་པ་རེད། ;བོ་བ་གྱིས་བསམ་ཚུལ་ལྟར་དེ་ནི་ཧམ་བྷར་ཇི་འདྲ་ཞིག་ཡིན་རུང་ལེགས་པོ་མ་རེད་ཟེར། ;མཚན་མོ་དེར་བྷོ་བ་མ་ཀཱོན་ཌོ་ནལ་ (McDonald's) ལ་སོང་བ་རེད། ;ཁོ་ནི་དགའ་སྐྱིད་ཆེན་པོ་སྐྱེས་པ་རེད། ;1
ཐོ་མི་ལ་རྨས་སྐྱོན་བྱུང་རྗེས་སྨན་པར་འགྲོ་དགོས་བྱུང་འདུག ;མྱུར་དུ་ཁོང་གི་ཨ་མས་ཁོ་གྲོང་ཁྱེར་དུ་འཁྲིད་སོང་། ;སྒུག་ཁང་དུ་མི་མང་པོ་འདུག ;དུས་ཡུན་འགོར་རྗེས་སྨན་པ་མོ་ཞིག་ཏོ་མི་ལ་ཐུག་པར་ཡོང་ངོ་། ;དེ་ནས་ཏོམ་མི་ལ་རྨས་སྐྱོན་ཆེན་པོ་བྱུང་འདུག ;དེ་ནས་ཏོམ་མི་ལ་སྨན་བཅོས་བྱས་པ་དང་ཁོང་ཧ་ཅང་ལེགས་པོ་བྱུང་སོང་། ;2
མ་གེའི་ (Maggie) གྱིས་མོའི་ཁང་མིག་ལ་རི་མོ་འབྲི་འདོད་འདུག ;མོ་ལ་ཁང་མིག་དམར་པོ་ཞིག་དགོས་ཀྱི་འདུག ;མོ་རང་གི་ཨ་མ་ལ་རི་མོ་ཉོ་རོགས་ཞུས་པ་རེད། ;ཉིན་རྗེས་མར་མག་གྷི་ཡིས་མོའི་ཁང་མིག་ལ་རི་མོ་རྒྱབ་པ་རེད། ;མ་གེའི་ (Maggie) ནི་མདོག་དམར་པོ་ལ་མི་དགའ་བ་རེད། ;མ་གྷ་གྷི་ (Maggie) ནི་མདོག་དམར་པོ་ལ་དགའ་པོ་ཡོད། ;2
ཀེན་གྱིས་དྲ་ལམ་བརྒྱུད་སྐྱེས་པ་བཟང་པོ་ཞིག་དང་ཐུག་འཕྲད་བྱས་པ་དང་། ཁོང་གཉིས་མཉམ་དུ་ཐུག་འཕྲད་བྱེད་རྒྱུ་ཐག་བཅད་པ་རེད། ;ཁོང་གཉིས་དགེ་ལྡན་གྱི་ཟ་ཁང་ཞིག་ཏུ་ཐུག་ནས་ལག་པར་ཤིས་པ་རེད། ;ཀེན་དང་ཁོའི་གྲོགས་མོ་གཉིས་ཀྱིས་ཟ་ཆས་ཞིག་བཤམས་ཏེ་སྐད་ཆ་ཕྲ་མོ་བརྒྱབ་པ་རེད། ;ཁོང་ཚོས་ཟས་པའི་སྐབས་ཀེན་གྱིས་མི་དེ་ལ་དགའ་པོ་བྱུང་བའི་བསམ་བློ་གཏོང་གི་འདུག ;ཀེན་གྱིས་མྱུར་དུ་འགྲོ་རྒྱུའི་ཐབས་ཤིག་བཟོས་པ་རེད། ;ཀེན་གྱིས་ཁོ་ལ་ཐེངས་གཉིས་པར་ཐུག་འཕྲད་ཞུས་པ་རེད། ;2
གེ་རི་གྱིས་ཇེ་མི་ལ་སེམས་ཆགས་འདུག ;ཁོ་མོ་ཉེ་སར་ཡོད་སྐབས་ཧ་ཅང་སེམས་ཁྲལ་བྱེད་ཀྱི་འདུག ;ཉིན་ཞིག་ཁོས་མོ་ལ་ངོ་མཚར་སྟོན་འདོད་བྱུང་། ;དེའི་ཚབ་ཏུ་ཁོང་ནི་ཐེམ་སྐས་ནས་མར་ལྷུང་བ་རེད། ;གེ་རི་ཁོང་ཁྲོས་པ་གང་ཞེ་ན། ཁོ་ནི་ཐོག་རྩེ་གཉིས་ལས་མར་ལྷུང་བ་མ་ཡིན། ;ཇ་མི་ཡིས་ཁོ་ལ་རོགས་རམ་བྱེད་དུ་ཡོང་ངོ་། ;2
ལིཛ (Liz) གྱིས་ཏམ་ཀྲུང་འཛུགས་སྐྱོང་བྱེད་རྒྱུའི་ཐག་གཅོད་བྱས་པ་ཡིན། ;མོ་ལ་སྔོན་ཆད་ནམ་ཡང་ས་བོན་འདེབས་མ་མྱོང་བ་ཞིག་རེད། ;མོ་གིས་ལྡུམ་རའི་ལྟེ་བའི་ལས་འགུལ་ནས་སོན་ཤིང་ཉོས་པ་ཡིན། ;མོས་ལོ་ཙཱ་བ་ཚང་མ་ལ་ཕྲུ་གུ་ལྟ་བུར་ལྟ་སྐྱོང་བྱས་པ་ཡིན། ;ལིཛས་རང་གི་བྱས་རྗེས་ངོ་ཚ་བྱུང་། ;འབྲས་བུའི་འབྲས་བུ། ;2
བི་ལིས་སན་ཌིཤི་ཞིག་འདོད་འདུག ;ཁོང་ཡར་ལངས་ནས་ཁང་མིག་ནང་དུ་སོང་ངོ་། ;ཁོང་གིས་སན་ཌི་ཝི་ (sandwich) བཟོ་རྒྱུའི་དངོས་རིགས་བསྡུས་པ་རེད། ;ཁོ་ཡིས་སན་ཌི་ཝི་ཤ་བཟོས་པ་རེད། ;ཁོང་རང་གི་སན་ཌིཝི་ཤ་ཟས་པ་རེད། ;བི་ལིས་ཤིང་བཟོ་ལས་འགུལ་ལ་ལས་ཀ་འགོ་ཚུགས་པ་རེད། ;1
